Text,English,Sentiment,Author,Title,tokenized_it,tokenized_en,,,,,,,,,,,,,,,,,,,
"Le donne, i cavallier, l’arme, gli amori,
le cortesie, l’audaci imprese io canto,
che furo al tempo che passaro i Mori
d’Africa il mare, e in Francia nocquer tanto,
seguendo l’ire e i giovenil furori
d’Agramante lor re, che si diè vanto
di vendicar la morte di Troiano
sopra re Carlo imperator romano.","OF LOVES and LADIES, KNIGHTS and ARMS, I sing,
  Of COURTESIES, and many a DARING FEAT;
  And from those ancient days my story bring,
  When Moors from Afric passed in hostile fleet,
  And ravaged France, with Agramant their king,
  Flushed with his youthful rage and furious heat,
  Who on king Charles', the Roman emperor's head
  Had vowed due vengeance for Troyano dead.",neutral,Ariosto,L'Orlando furioso,,,,,,,,,,,,,,,,,,,,,
"Dirò d’Orlando in un medesmo tratto
cosa non detta in prosa mai, né in rima:
che per amor venne in furore e matto,
d’uom che sì saggio era stimato prima;
se da colei che tal quasi m’ha fatto,
che ’l poco ingegno ad or ad or mi lima,
me ne sarà però tanto concesso,
che mi basti a finir quanto ho promesso.","In the same strain of Roland will I tell
  Things unattempted yet in prose or rhyme,
  On whom strange madness and rank fury fell,
  A man esteemed so wise in former time;
  If she, who to like cruel pass has well
  Nigh brought my feeble wit which fain would climb
  And hourly wastes my sense, concede me skill
  And strength my daring promise to fulfil.",negative,Ariosto,L'Orlando furioso,,,,,,,,,,,,,,,,,,,,,
"Piacciavi, generosa Erculea prole,
ornamento e splendor del secol nostro,
Ippolito, aggradir questo che vuole
e darvi sol può l’umil servo vostro.
Quel ch’io vi debbo, posso di parole
pagare in parte e d’opera d’inchiostro;
né che poco io vi dia da imputar sono,
che quanto io posso dar, tutto vi dono.","Good seed of Hercules, give ear and deign,
  Thou that this age's grace and splendour art,
  Hippolitus, to smile upon his pain
  Who tenders what he has with humble heart.
  For though all hope to quit the score were vain,
  My pen and pages may pay the debt in part;
  Then, with no jealous eye my offering scan,
  Nor scorn my gifts who give thee all I can.",positive,Ariosto,L'Orlando furioso,,,,,,,,,,,,,,,,,,,,,
"Voi sentirete fra i più degni eroi,
che nominar con laude m’apparecchio,
ricordar quel Ruggier, che fu di voi
e de’ vostri avi illustri il ceppo vecchio.
L’alto valore e’ chiari gesti suoi
vi farò udir, se voi mi date orecchio,
e vostri alti pensieri cedino un poco,
sì che tra lor miei versi abbiano loco.","And me, amid the worthiest shalt thou hear,
  Whom I with fitting praise prepare to grace,
  Record the good Rogero, valiant peer,
  The ancient root of thine illustrious race.
  Of him, if thou wilt lend a willing ear,
  The worth and warlike feats I shall retrace;
  So thou thy graver cares some little time
  Postponing, lend thy leisure to my rhyme.",positive,Ariosto,L'Orlando furioso,,,,,,,,,,,,,,,,,,,,,
"Orlando, che gran tempo innamorato
fu de la bella Angelica, e per lei
in India, in Media, in Tartaria lasciato
avea infiniti ed immortal trofei,
in Ponente con essa era tornato,
dove sotto i gran monti Pirenei
con la gente di Francia e de Lamagna
re Carlo era attendato alla campagna,","Roland, who long the lady of Catay,
  Angelica, had loved, and with his brand
  Raised countless trophies to that damsel gay,
  In India, Median, and Tartarian land,
  Westward with her had measured back his way;
  Where, nigh the Pyrenees, with many a band
  Of Germany and France, King Charlemagne
  Had camped his faithful host upon the plain.",positive,Ariosto,L'Orlando furioso,,,,,,,,,,,,,,,,,,,,,
"per far al re Marsilio e al re Agramante
battersi ancor del folle ardir la guancia,
d’aver condotto, l’un, d’Africa quante
genti erano atte a portar spada e lancia;
l’altro, d’aver spinta la Spagna inante
a destruzion del bel regno di Francia.
E così Orlando arrivò quivi a punto:
ma tosto si pentì d’esservi giunto:","To make King Agramant, for penance, smite
  His cheek, and rash Marsilius rue the hour;
  This, when all trained with lance and sword to fight,
  He led from Africa to swell his power;
  That other when he pushed, in fell despite,
  Against the realm of France Spain's martial flower.
  'Twas thus Orlando came where Charles was tented
  In evil hour, and soon the deed repented",negative,Ariosto,L'Orlando furioso,,,,,,,,,,,,,,,,,,,,,
"Che vi fu tolta la sua donna poi:
ecco il giudicio uman come spesso erra!
Quella che dagli esperi ai liti eoi
avea difesa con sì lunga guerra,
or tolta gli è fra tanti amici suoi,
senza spada adoprar, ne la sua terra.
Il savio imperator, ch’estinguer volse
un grave incendio, fu che gli la tolse.","For here was seized his dame of peerless charms,
  (How often human judgment wanders wide)!
  Whom in long warfare he had kept from harms,
  From western climes to eastern shores her guide
  In his own land, 'mid friends and kindred arms,
  Now without contest severed from his side.
  Fearing the mischief kindled by her eyes,
  From him the prudent emperor reft the prize.",negative,Ariosto,L'Orlando furioso,,,,,,,,,,,,,,,,,,,,,
"Nata pochi dì inanzi era una gara
tra il conte Orlando e il suo cugin Rinaldo,
che entrambi avean per la bellezza rara
d’amoroso disio l’animo caldo.
Carlo, che non avea tal lite cara,
che gli rendea l’aiuto lor men saldo,
questa donzella, che la causa n’era,
tolse, e diè in mano al duca di Bavera;","For bold Orlando and his cousin, free
  Rinaldo, late contended for the maid,
  Enamored of that beauty rare; since she
  Alike the glowing breast of either swayed.
  But Charles, who little liked such rivalry,
  And drew an omen thence of feebler aid,
  To abate the cause of quarrel, seized the fair,
  And placed her in Bavarian Namus' care.",positive,Ariosto,L'Orlando furioso,,,,,,,,,,,,,,,,,,,,,
"in premio promettendola a quel d’essi,
ch’in quel conflitto, in quella gran giornata,
degl’infideli più copia uccidessi,
e di sua man prestasse opra più grata.
Contrari ai voti poi furo i successi;
ch’in fuga andò la gente battezzata,
e con molti altri fu ’l duca prigione,
e restò abbandonato il padiglione.","Vowing with her the warrior to content,
  Who in that conflict, on that fatal day,
  With his good hand most gainful succour lent,
  And slew most paynims in the martial fray.
  But counter to his hopes the battle went,
  And his thinned squadrons fled in disarray;
  Namus, with other Christian captains taken,
  And his pavilion in the rout forsaken.",negative,Ariosto,L'Orlando furioso,,,,,,,,,,,,,,,,,,,,,
"Dove, poi che rimase la donzella
ch’esser dovea del vincitor mercede,
inanzi al caso era salita in sella,
e quando bisognò le spalle diede,
presaga che quel giorno esser rubella
dovea Fortuna alla cristiana fede:
entrò in un bosco, e ne la stretta via
rincontrò un cavallier ch’a piè venìa.","There, lodged by Charles, that gentle bonnibel,
  Ordained to be the valiant victor's meed,
  Before the event had sprung into her sell,
  And from the combat turned in time of need;
  Presaging wisely Fortune would rebel
  That fatal day against the Christian creed:
  And, entering a thick wood, discovered near,
  In a close path, a horseless cavalier.",positive,Ariosto,L'Orlando furioso,,,,,,,,,,,,,,,,,,,,,
